Year,CONUS
1900,38.29
1901,40.3
1902,35.13
1903,27.56
1904,28.78
1905,29.85
1906,29.76
1907,29.01
1908,34.13
1909,33.4
1910,33.61
1911,45.7
1912,31.38
1913,42.5
1914,43.32
1915,26.79
1916,37.45
1917,32.04
1918,39.07
1919,36.86
1920,27.0
1921,44.49
1922,36.79
1923,28.92
1924,32.92
1925,48.15
1926,38.22
1927,33.13
1928,30.93
1929,34.47
1930,44.21
1931,51.84
1932,38.35
1933,49.01
1934,51.3
1935,38.1
1936,55.71
1937,44.03
1938,40.93
1939,46.43
1940,37.47
1941,43.03
1942,35.73
1943,44.46
1944,43.96
1945,35.47
1946,30.76
1947,38.13
1948,37.68
1949,34.58
1950,22.1
1951,32.26
1952,42.89
1953,43.47
1954,44.67
1955,39.69
1956,37.32
1957,30.54
1958,29.8
1959,33.96
1960,32.31
1961,27.18
1962,30.86
1963,33.22
1964,33.15
1965,24.97
1966,29.96
1967,21.27
1968,28.2
1969,29.32
1970,33.09
1971,26.73
1972,27.79
1973,28.48
1974,26.06
1975,26.64
1976,24.05
1977,35.48
1978,32.8
1979,24.5
1980,40.9
1981,29.77
1982,24.44
1983,37.78
1984,28.2
1985,28.41
1986,31.65
1987,33.75
1988,42.04
1989,26.24
1990,33.34
1991,32.32
1992,19.09
1993,29.48
1994,26.35
1995,32.26
1996,25.7
1997,26.86
1998,35.98
1999,33.09
2000,33.01
2001,29.63
2002,39.01
2003,27.33
2004,21.41
2005,34.28
2006,35.33
2007,34.7
2008,27.84
2009,24.59
2010,39.65
2011,39.94
2012,39.97
2013,27.4
2014,24.66
2015,30.24
2016,35.45
2017,28.56
2018,36.17
2019,33.43
2020,34.07
2021,32.25
2022,38.61
2023,32.82
2024,38.6
