Year,Alaska,Northeast,Northern Rockies and Plains,Northwest,Ohio Valley,South,Southeast,Southwest,Upper Midwest,West
1900,-999.0,13.03,30.79,1.66,4.47,0.6,0.53,3.96,27.32,-999.0
1901,-999.0,13.5,29.33,0.73,6.93,1.71,0.32,6.8,27.37,-999.0
1902,-999.0,11.49,29.14,4.66,4.91,1.52,0.05,7.81,24.83,-999.0
1903,-999.0,13.58,30.92,3.4,6.12,0.99,0.33,11.79,27.78,-999.0
1904,-999.0,25.43,36.31,1.58,7.12,0.86,0.64,5.35,37.24,-999.0
1905,-999.0,20.87,34.25,3.92,9.98,4.7,0.8,7.51,33.34,-999.0
1906,-999.0,15.34,32.67,2.97,3.23,0.34,0.06,5.85,23.26,-999.0
1907,-999.0,16.66,32.01,4.92,2.54,0.59,0.19,4.28,22.23,-999.0
1908,-999.0,14.38,20.48,2.28,1.03,0.21,0.27,10.0,16.22,-999.0
1909,-999.0,10.4,38.3,6.19,4.64,2.13,0.14,14.8,26.52,-999.0
1910,-999.0,12.41,29.64,4.68,3.78,0.76,0.23,10.45,24.19,-999.0
1911,-999.0,10.07,36.4,3.32,1.29,1.56,0.03,13.99,21.13,-999.0
1912,-999.0,16.65,38.11,4.08,12.44,3.22,1.13,12.3,42.75,-999.0
1913,-999.0,6.02,39.47,5.62,2.3,1.56,0.05,15.71,25.67,-999.0
1914,-999.0,17.78,36.72,4.33,7.04,1.39,0.73,12.98,32.23,-999.0
1915,-999.0,5.51,21.69,2.66,2.73,0.54,0.05,13.34,16.31,-999.0
1916,-999.0,15.84,54.49,9.48,6.04,2.43,0.48,13.77,39.85,-999.0
1917,-999.0,24.68,46.17,5.51,12.91,2.39,1.82,16.27,44.02,-999.0
1918,-999.0,22.96,32.09,2.4,11.48,4.13,1.1,15.28,29.74,-999.0
1919,-999.0,10.95,38.71,7.96,2.54,1.71,0.39,15.25,27.05,-999.0
1920,-999.0,14.94,29.29,1.75,3.15,0.42,0.15,10.33,29.36,-999.0
1921,-999.0,8.2,21.89,2.07,0.15,0.09,0.02,7.17,12.46,-999.0
1922,-999.0,12.35,41.58,11.72,1.85,0.66,0.15,16.11,26.63,-999.0
1923,-999.0,13.83,27.52,4.61,1.24,0.7,0.06,12.86,23.52,-999.0
1924,-999.0,12.48,37.9,11.44,7.85,2.98,0.29,19.64,34.12,-999.0
1925,-999.0,10.51,25.6,0.57,3.3,0.89,0.25,13.09,22.72,-999.0
1926,-999.0,13.15,19.41,2.42,2.17,0.45,0.22,9.91,24.12,-999.0
1927,-999.0,6.65,36.48,5.98,2.22,1.01,0.1,9.82,25.36,-999.0
1928,-999.0,7.77,17.83,2.91,3.29,0.51,0.28,10.29,18.28,-999.0
1929,-999.0,8.49,43.37,11.37,7.08,1.66,0.08,17.31,40.95,-999.0
1930,67.24,9.2,26.85,12.35,5.64,3.05,0.45,13.76,23.56,1.74
1931,55.42,5.74,9.83,4.47,0.26,0.07,0.06,11.08,5.78,0.48
1932,65.77,4.32,38.48,11.05,2.03,1.08,0.14,16.24,24.49,5.87
1933,66.9,7.67,27.94,5.13,3.33,1.43,0.07,12.9,22.32,3.14
1934,54.74,19.39,17.49,0.28,4.73,0.24,0.66,3.45,22.3,0.08
1935,65.48,16.18,25.55,3.64,4.23,0.63,0.74,7.08,22.22,1.02
1936,56.07,15.11,52.55,6.8,13.02,2.51,0.86,7.2,40.75,0.31
1937,54.86,3.98,48.05,11.93,0.88,0.9,0.08,18.0,31.34,6.41
1938,58.49,8.9,26.53,0.8,0.82,0.21,0.07,7.33,18.93,0.73
1939,61.36,9.89,25.04,1.95,0.82,0.64,0.02,10.39,19.43,0.29
1940,44.52,11.38,34.12,1.45,8.71,2.89,1.54,8.57,28.69,0.26
1941,51.15,6.71,20.42,1.18,0.58,0.07,0.02,5.63,16.39,0.01
1942,56.01,11.76,25.0,5.88,6.4,1.57,0.62,12.33,22.04,1.79
1943,49.32,13.49,35.22,4.49,6.04,1.5,0.23,7.22,33.11,0.41
1944,41.56,10.54,24.93,3.17,2.07,0.33,0.04,8.13,18.46,0.05
1945,53.51,12.23,28.81,3.13,4.63,0.51,0.04,9.25,26.42,0.02
1946,71.77,10.21,23.85,2.26,1.13,0.3,0.09,5.77,20.28,0.29
1947,51.27,7.32,27.74,3.39,1.82,0.9,0.12,8.18,22.26,0.47
1948,68.21,17.84,37.22,5.84,7.46,1.48,0.54,12.07,33.71,1.9
1949,56.07,3.96,46.02,14.81,1.02,1.1,0.02,16.38,23.19,6.9
1950,52.94,10.27,42.79,10.76,3.07,0.97,0.1,7.79,36.18,4.9
1951,64.24,8.71,42.9,4.57,6.17,2.23,0.21,11.26,34.68,3.28
1952,57.68,5.41,28.64,4.82,0.39,0.56,0.04,13.34,16.45,5.02
1953,58.8,3.54,13.88,0.62,1.06,0.19,0.04,5.31,16.2,0.34
1954,67.89,8.67,20.95,2.22,0.98,0.38,0.09,5.46,15.3,1.53
1955,68.85,10.75,41.42,6.27,4.16,0.45,0.2,11.79,30.68,5.46
1956,81.26,6.32,29.63,6.4,1.04,0.53,0.07,8.47,23.58,4.85
1957,46.2,10.49,27.13,8.88,2.37,0.54,0.1,6.1,23.33,4.75
1958,49.35,14.91,22.78,1.35,7.24,0.55,0.52,5.03,29.17,0.69
1959,64.73,11.29,28.49,2.44,4.16,1.27,0.25,6.46,29.36,2.08
1960,48.91,9.67,35.77,4.54,5.44,1.48,0.54,11.31,26.97,3.0
1961,71.62,16.34,22.97,2.07,5.72,0.8,0.5,6.73,21.98,1.73
1962,53.77,16.45,34.33,4.79,8.26,3.1,0.85,11.73,31.89,7.69
1963,49.87,17.85,35.43,4.65,16.9,3.17,1.24,11.78,43.55,3.68
1964,75.48,9.11,29.45,4.06,1.89,0.54,0.35,10.81,21.16,2.78
1965,63.96,10.97,34.05,1.77,5.32,0.41,0.33,7.3,28.16,2.48
1966,73.41,9.13,35.41,2.3,5.01,1.65,0.78,10.99,31.45,2.56
1967,54.46,12.39,26.69,2.36,3.14,0.3,0.46,8.76,27.33,1.51
1968,62.76,19.07,28.28,3.77,5.67,0.92,0.44,10.38,25.6,2.2
1969,54.83,8.98,33.07,4.27,2.64,0.3,0.1,6.27,24.62,1.48
1970,58.6,16.76,32.51,1.93,8.51,0.61,1.15,7.06,32.66,2.59
1971,74.52,14.14,31.29,2.87,4.53,0.92,0.16,10.48,27.89,4.95
1972,68.42,13.14,39.31,10.67,5.46,1.64,0.41,10.06,38.62,9.29
1973,61.18,9.28,23.15,3.52,1.83,0.85,0.18,10.93,18.74,2.18
1974,62.1,9.18,24.14,7.3,2.8,1.28,0.05,12.48,21.14,3.82
1975,68.51,10.03,32.39,2.98,1.28,0.43,0.1,11.2,25.13,2.38
1976,61.01,16.39,28.76,2.15,5.4,0.82,0.24,10.18,33.03,1.01
1977,52.7,14.72,31.33,3.57,17.7,1.95,1.54,8.3,36.88,3.6
1978,43.09,15.04,48.34,4.96,13.12,1.81,0.55,9.55,45.05,3.24
1979,56.04,15.0,42.93,10.66,12.8,3.21,0.8,13.13,37.4,4.03
1980,58.63,13.82,28.67,4.43,4.75,0.95,0.28,5.22,28.99,0.71
1981,36.9,12.71,16.07,0.9,7.06,0.62,0.39,3.25,22.27,0.2
1982,65.16,17.15,36.62,5.69,8.58,2.69,1.66,9.63,34.2,3.31
1983,48.42,9.46,25.05,4.66,7.03,2.41,1.04,6.23,22.14,1.08
1984,54.75,11.92,25.67,5.97,5.3,1.23,0.45,10.11,22.85,2.98
1985,60.37,12.0,43.14,10.91,10.76,2.61,1.84,10.7,38.16,5.12
1986,53.58,7.94,19.68,1.39,3.14,0.34,0.23,4.22,22.25,0.48
1987,47.59,11.2,10.35,2.58,2.01,0.12,0.35,7.4,7.08,3.61
1988,56.92,14.21,29.18,3.13,5.62,1.41,0.63,9.47,30.54,4.31
1989,59.53,16.48,37.66,6.86,9.94,3.53,1.63,12.77,36.17,6.74
1990,63.75,5.0,21.45,6.77,1.1,1.38,0.14,10.84,15.24,7.82
1991,53.3,8.11,23.09,2.04,1.27,0.26,0.08,7.1,23.42,1.49
1992,58.15,8.49,14.8,2.41,1.45,0.05,0.06,6.76,11.85,2.75
1993,37.25,14.31,32.09,6.3,2.47,0.59,0.21,5.69,26.55,6.22
1994,56.27,18.4,26.57,1.76,7.51,0.38,1.19,5.69,30.73,2.49
1995,53.51,8.85,24.1,1.21,3.65,0.48,0.29,3.87,23.66,1.05
1996,63.99,11.68,43.96,4.26,6.54,2.36,0.81,7.61,36.69,0.74
1997,55.65,7.68,24.96,2.67,5.58,0.71,0.26,7.93,21.06,1.38
1998,45.02,4.0,19.17,3.05,0.44,0.45,0.05,5.65,11.71,3.06
1999,71.38,7.19,11.39,0.59,2.85,0.18,0.02,2.96,16.86,0.6
2000,34.7,10.57,24.1,0.74,6.22,0.37,0.19,4.76,26.5,0.39
2001,50.3,7.06,19.84,2.15,1.16,0.28,0.08,7.32,17.1,1.56
2002,33.86,3.36,21.04,1.84,0.45,0.31,0.04,7.7,9.69,1.63
2003,42.35,15.01,25.2,0.63,3.59,0.47,0.26,3.94,27.82,0.26
2004,47.63,13.27,21.83,2.74,3.93,0.86,0.16,6.53,24.52,2.22
2005,45.1,11.96,22.85,3.47,2.15,0.67,0.18,4.74,21.02,1.58
