Year,CONUS
1900,15.86
1901,22.37
1902,17.89
1903,11.13
1904,10.46
1905,11.62
1906,10.52
1907,12.37
1908,12.46
1909,14.76
1910,14.41
1911,22.89
1912,13.29
1913,22.7
1914,22.2
1915,10.39
1916,16.73
1917,15.1
1918,20.45
1919,15.08
1920,9.51
1921,19.54
1922,16.31
1923,11.18
1924,17.07
1925,26.04
1926,16.74
1927,13.69
1928,12.1
1929,14.34
1930,25.94
1931,27.36
1932,18.83
1933,24.68
1934,30.09
1935,18.2
1936,34.22
1937,21.11
1938,19.4
1939,22.39
1940,18.05
1941,18.75
1942,15.2
1943,22.37
1944,20.84
1945,14.9
1946,13.96
1947,19.08
1948,17.88
1949,13.75
1950,8.68
1951,16.21
1952,22.81
1953,22.84
1954,27.11
1955,17.31
1956,18.77
1957,13.82
1958,12.81
1959,13.08
1960,14.97
1961,10.62
1962,13.69
1963,14.84
1964,14.88
1965,9.57
1966,13.28
1967,8.54
1968,11.1
1969,13.96
1970,14.14
1971,11.03
1972,10.67
1973,10.66
1974,11.42
1975,9.21
1976,9.84
1977,17.29
1978,15.93
1979,9.81
1980,23.04
1981,13.75
1982,9.37
1983,18.68
1984,11.54
1985,12.6
1986,12.63
1987,13.94
1988,20.53
1989,10.46
1990,15.93
1991,12.17
1992,7.09
1993,12.45
1994,10.87
1995,14.08
1996,10.88
1997,10.81
1998,17.66
1999,15.0
2000,18.0
2001,13.54
2002,16.25
2003,12.89
2004,8.72
2005,14.19
2006,17.17
2007,15.45
2008,12.19
2009,11.3
2010,17.78
2011,21.29
2012,20.27
2013,11.5
2014,10.22
2015,13.25
2016,14.14
2017,11.78
2018,14.07
2019,13.85
2020,13.97
2021,13.77
2022,19.01
2023,16.69
2024,19.03
