Year,CONUS
1900,50.29
1901,41.85
1902,38.01
1903,33.07
1904,33.25
1905,42.92
1906,41.49
1907,35.79
1908,38.41
1909,40.96
1910,38.47
1911,48.9
1912,41.18
1913,42.71
1914,44.29
1915,35.64
1916,44.05
1917,32.79
1918,39.77
1919,46.11
1920,36.8
1921,53.4
1922,43.67
1923,41.57
1924,35.1
1925,46.38
1926,43.46
1927,39.36
1928,40.21
1929,41.03
1930,41.49
1931,48.7
1932,41.82
1933,49.25
1934,50.33
1935,46.04
1936,51.27
1937,49.21
1938,46.46
1939,49.06
1940,39.71
1941,49.63
1942,44.91
1943,47.2
1944,43.55
1945,41.25
1946,38.48
1947,45.14
1948,40.36
1949,48.32
1950,30.29
1951,34.35
1952,39.62
1953,38.7
1954,40.72
1955,42.94
1956,35.08
1957,37.1
1958,36.74
1959,45.74
1960,34.8
1961,35.11
1962,33.23
1963,33.88
1964,36.61
1965,35.2
1966,33.21
1967,28.4
1968,35.27
1969,36.65
1970,39.05
1971,36.45
1972,34.36
1973,39.89
1974,31.42
1975,37.87
1976,27.57
1977,40.94
1978,37.81
1979,34.66
1980,40.89
1981,36.69
1982,34.41
1983,39.61
1984,34.95
1985,34.84
1986,41.22
1987,40.07
1988,39.37
1989,37.81
1990,39.17
1991,45.65
1992,28.98
1993,38.22
1994,37.84
1995,41.89
1996,36.1
1997,33.56
1998,44.37
1999,40.0
2000,38.5
2001,39.96
2002,47.33
2003,39.1
2004,37.43
2005,45.4
2006,41.46
2007,43.14
2008,36.72
2009,35.08
2010,49.06
2011,45.58
2012,44.46
2013,43.55
2014,37.46
2015,45.03
2016,48.96
2017,40.81
2018,57.04
2019,46.98
2020,46.68
2021,48.8
2022,47.19
2023,40.37
2024,47.73
